Number of Imprints, Average Fraction of Unstable Imprints, Average Number of Stable Imprints
1, 0.000000, 1
2, 0.000000, 2
3, 0.000000, 3
4, 0.000000, 4
5, 0.000000, 5
6, 0.000000, 6
7, 0.000000, 7
8, 0.000000, 8
9, 0.000000, 9
10, 0.000000, 10
11, 0.018182, 10
12, 0.050000, 11
13, 0.107692, 11
14, 0.142857, 12
15, 0.226667, 11
16, 0.300000, 11
17, 0.352941, 11
18, 0.466667, 9
19, 0.505263, 9
20, 0.590000, 8
21, 0.657143, 7
22, 0.700000, 6
23, 0.834783, 3
24, 0.850000, 3
25, 0.848000, 3
26, 0.861538, 3
27, 0.888889, 3
28, 0.914286, 2
29, 0.903448, 2
30, 0.913333, 2
31, 0.922581, 2
32, 0.950000, 1
33, 0.969697, 1
34, 0.982353, 0
35, 0.988571, 0
36, 0.994444, 0
37, 0.994595, 0
38, 1.000000, 0
39, 1.000000, 0
40, 1.000000, 0
41, 0.995122, 0
42, 0.995238, 0
43, 1.000000, 0
44, 1.000000, 0
45, 1.000000, 0
46, 1.000000, 0
47, 1.000000, 0
48, 1.000000, 0
49, 1.000000, 0
50, 1.000000, 0


Basin Sizes
Number of Imprints, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 
2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1, 0, 0.2, 0.2, 0.3, 0.1, 0.1, 0, 0, 
3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0666667, 0.333333, 0.133333, 0, 0.2, 0.0666667, 0.0666667, 0.0666667, 0.0666667, 0, 0, 0, 0, 
4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.05, 0, 0.05, 0, 0.1, 0.3, 0.15, 0.15, 0.1, 0.1, 0, 0, 0, 0, 0, 0, 
5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.08, 0.04, 0, 0.04, 0.16, 0.24, 0.12, 0.04, 0.2, 0.04, 0.04, 0, 0, 0, 0, 0, 0, 0, 0, 
6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0666667, 0.0333333, 0.0666667, 0.133333, 0.133333, 0.1, 0.166667, 0.1, 0.133333, 0.0333333, 0.0333333, 0, 0, 0, 0, 0, 0, 0, 0, 
7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0285714, 0.0571429, 0.0857143, 0.0571429, 0.142857, 0.114286, 0.2, 0.114286, 0.0285714, 0.171429, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.075, 0.025, 0.05, 0, 0.025, 0.2, 0.1, 0.125, 0.125, 0.075, 0.1, 0.025, 0, 0.075, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0222222, 0.0222222, 0, 0.0222222, 0.0888889, 0.0666667, 0.0666667, 0.111111, 0.133333, 0.133333, 0.0444444, 0.111111, 0.0888889, 0, 0.0444444, 0.0444444, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.02, 0, 0.02, 0, 0, 0.04, 0.06, 0.04, 0.12, 0.16, 0.14, 0.1, 0.08, 0.06, 0.06, 0.04, 0.04, 0, 0.02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
11, 0.0181818, 0, 0, 0, 0, 0.0181818, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0181818, 0, 0, 0, 0.0181818, 0.0181818, 0, 0.0363636, 0.0363636, 0.109091, 0.109091, 0.109091, 0.145455, 0.0727273, 0.109091, 0.0909091, 0.0545455, 0.0181818, 0, 0, 0, 0, 0.0181818, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
12, 0.05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0166667, 0.0166667, 0.0166667, 0.0333333, 0, 0.0166667, 0.0333333, 0.0166667, 0.0833333, 0.0166667, 0.0333333, 0.0833333, 0.1, 0.1, 0.1, 0.0666667, 0.116667, 0.0833333, 0.0166667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
13, 0.107692, 0, 0, 0, 0.0307692, 0, 0, 0, 0, 0, 0.0153846, 0, 0, 0, 0.0153846, 0, 0, 0, 0, 0.0153846, 0.0307692, 0.0307692, 0.0153846, 0.0461538, 0.0461538, 0.0769231, 0.0153846, 0.0923077, 0.0923077, 0.107692, 0.0615385, 0.0461538, 0.0461538, 0.0461538, 0.0461538, 0.0153846, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
14, 0.142857, 0, 0, 0, 0, 0, 0, 0.0285714, 0, 0, 0, 0.0285714, 0, 0, 0, 0, 0.0285714, 0.0142857, 0.0285714, 0.0285714, 0.0285714, 0.0714286, 0.0285714, 0.0571429, 0.0285714, 0.1, 0.0428571, 0.0714286, 0.1, 0.0571429, 0.0428571, 0, 0.0285714, 0.0142857, 0.0142857, 0.0142857, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
15, 0.226667, 0.0266667, 0, 0, 0.0133333, 0, 0.0133333, 0, 0.0266667, 0, 0, 0.0133333, 0.0133333, 0.0266667, 0.0133333, 0.0266667, 0.04, 0.04, 0.0266667, 0.0133333, 0.0133333, 0.08, 0.04, 0.0533333, 0.0133333, 0.0133333, 0.08, 0.0533333, 0.04, 0.0133333, 0.0266667, 0, 0.0266667, 0.0133333, 0, 0, 0.0133333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
16, 0.3, 0, 0, 0, 0.025, 0.0125, 0.025, 0, 0.0125, 0.0125, 0.0375, 0.0125, 0.0125, 0, 0.0375, 0, 0.025, 0.05, 0.025, 0.0125, 0.05, 0.05, 0.0375, 0.05, 0.075, 0.05, 0.0375, 0.0125, 0.0125, 0.025, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
17, 0.352941, 0.0117647, 0.0117647, 0.0117647, 0.0235294, 0.0235294, 0.0117647, 0.0235294, 0.0235294, 0.0235294, 0.0235294, 0.0117647, 0.0235294, 0, 0, 0.0117647, 0.0117647, 0.0235294, 0.0235294, 0.0470588, 0.0235294, 0.0352941, 0.0352941, 0.0352941, 0.0470588, 0.0470588, 0.0117647, 0.0117647, 0, 0.0352941, 0, 0.0117647, 0, 0.0117647, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
18, 0.466667, 0, 0.0111111, 0.0444444, 0.0111111, 0.0111111, 0.0222222, 0.0222222, 0.0111111, 0, 0.0111111, 0.0111111, 0.0333333, 0.0111111, 0.0333333, 0.0222222, 0.0111111, 0.0222222, 0.0333333, 0.0555556, 0.0222222, 0.0222222, 0.0222222, 0, 0.0222222, 0.0222222, 0.0222222, 0.0222222, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
19, 0.505263, 0, 0.0105263, 0, 0.0315789, 0, 0, 0.0210526, 0.0315789, 0.0210526, 0.0105263, 0.0210526, 0.0105263, 0.0210526, 0.0210526, 0.0315789, 0.0210526, 0.0315789, 0.0210526, 0.0315789, 0.0315789, 0.0421053, 0.0421053, 0.0210526, 0.0210526, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
20, 0.59, 0.02, 0.03, 0, 0.01, 0.01, 0.01, 0.02, 0.02, 0.02, 0.03, 0.01, 0, 0.02, 0.01, 0.02, 0.05, 0.04, 0.02, 0.02, 0.01, 0.01, 0.02, 0, 0, 0, 0.01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
21, 0.657143, 0, 0, 0.00952381, 0.0285714, 0.00952381, 0.0571429, 0.0190476, 0.0190476, 0.0190476, 0.0190476, 0, 0.00952381, 0.0285714, 0.0190476, 0.0190476, 0.0285714, 0.0190476, 0, 0.0190476, 0.0190476, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
22, 0.7, 0.00909091, 0.0181818, 0.00909091, 0.0272727, 0.0272727, 0.00909091, 0.0181818, 0.0272727, 0.0272727, 0.00909091, 0, 0.0181818, 0, 0.0272727, 0.00909091, 0.0363636, 0, 0, 0, 0.00909091, 0.00909091, 0, 0.00909091, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
23, 0.834783, 0, 0, 0.0173913, 0, 0.0173913, 0.0173913, 0.0347826, 0, 0, 0.0173913, 0.0173913, 0, 0.0347826, 0, 0, 0, 0, 0, 0.00869565, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
24, 0.85, 0.00833333, 0.0166667, 0, 0.0416667, 0.00833333, 0.0166667, 0.0166667, 0.00833333, 0.00833333, 0.00833333, 0, 0.00833333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00833333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
25, 0.848, 0, 0.024, 0.032, 0, 0.008, 0.016, 0.008, 0.016, 0.008, 0, 0.008, 0, 0.016, 0.008, 0, 0, 0, 0, 0.008, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
26, 0.861538, 0.0153846, 0.0230769, 0.0230769, 0, 0.00769231, 0.0153846, 0.00769231, 0.0153846, 0.00769231, 0, 0, 0.0153846, 0, 0, 0.00769231, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
27, 0.888889, 0.0148148, 0.00740741, 0.00740741, 0.00740741, 0.0148148, 0, 0.0222222, 0, 0.0148148, 0, 0.00740741, 0.00740741, 0.00740741, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
28, 0.914286, 0, 0, 0.00714286, 0.0142857, 0.00714286, 0.0142857, 0.0142857, 0, 0.0142857, 0.00714286, 0.00714286, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
29, 0.903448, 0.00689655, 0.00689655, 0, 0.00689655, 0.0137931, 0.00689655, 0.0137931, 0.0275862, 0.00689655, 0.00689655, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
30, 0.913333, 0.00666667, 0.0133333, 0.0133333, 0.00666667, 0.00666667, 0, 0.02, 0.00666667, 0.00666667, 0.00666667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
31, 0.922581, 0, 0.0322581, 0.0193548, 0, 0, 0.0129032, 0.00645161, 0, 0.00645161, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
32, 0.95, 0, 0.03125, 0, 0, 0.0125, 0, 0, 0, 0, 0.00625, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
33, 0.969697, 0.00606061, 0.00606061, 0.00606061, 0.00606061, 0, 0, 0.00606061, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
34, 0.982353, 0, 0, 0, 0, 0.0117647, 0, 0, 0, 0.00588235, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
