Run Number 1
Number of Imprints, Stable Imprints, Fraction of Unstable Imprints
1, 1, 0.000000
2, 2, 0.000000
3, 3, 0.000000
4, 4, 0.000000
5, 5, 0.000000
6, 6, 0.000000
7, 7, 0.000000
8, 8, 0.000000
9, 9, 0.000000
10, 10, 0.000000
11, 11, 0.000000
12, 12, 0.000000
13, 13, 0.000000
14, 12, 0.142857
15, 13, 0.133333
16, 14, 0.125000
17, 8, 0.529412
18, 10, 0.444444
19, 10, 0.473684
20, 8, 0.600000
21, 5, 0.761905
22, 5, 0.772727
23, 7, 0.695652
24, 10, 0.583333
25, 10, 0.600000
26, 7, 0.730769
27, 5, 0.814815
28, 5, 0.821429
29, 3, 0.896552
30, 3, 0.900000
31, 1, 0.967742
32, 2, 0.937500
33, 1, 0.969697
34, 1, 0.970588
35, 0, 1.000000
36, 0, 1.000000
37, 0, 1.000000
38, 0, 1.000000
39, 0, 1.000000
40, 0, 1.000000
41, 0, 1.000000
42, 0, 1.000000
43, 0, 1.000000
44, 0, 1.000000
45, 0, 1.000000
46, 0, 1.000000
47, 0, 1.000000
48, 0, 1.000000
49, 0, 1.000000
50, 0, 1.000000

Run Number 2
Number of Imprints, Stable Imprints, Fraction of Unstable Imprints
1, 1, 0.000000
2, 2, 0.000000
3, 3, 0.000000
4, 4, 0.000000
5, 5, 0.000000
6, 6, 0.000000
7, 7, 0.000000
8, 8, 0.000000
9, 9, 0.000000
10, 10, 0.000000
11, 11, 0.000000
12, 11, 0.083333
13, 12, 0.076923
14, 13, 0.071429
15, 12, 0.200000
16, 10, 0.375000
17, 11, 0.352941
18, 11, 0.388889
19, 12, 0.368421
20, 10, 0.500000
21, 8, 0.619048
22, 6, 0.727273
23, 6, 0.739130
24, 3, 0.875000
25, 2, 0.920000
26, 1, 0.961538
27, 0, 1.000000
28, 0, 1.000000
29, 0, 1.000000
30, 0, 1.000000
31, 1, 0.967742
32, 0, 1.000000
33, 0, 1.000000
34, 0, 1.000000
35, 0, 1.000000
36, 0, 1.000000
37, 0, 1.000000
38, 0, 1.000000
39, 0, 1.000000
40, 0, 1.000000
41, 0, 1.000000
42, 0, 1.000000
43, 0, 1.000000
44, 0, 1.000000
45, 0, 1.000000
46, 0, 1.000000
47, 0, 1.000000
48, 0, 1.000000
49, 0, 1.000000
50, 0, 1.000000

