Experiment:,Vary_Crossover_Prob

Simulation Parameters:
Seed:, 355016174
Population Size:, 30
Generations:, 10
Number of Genes:, 20
Mutation Probability:, 0.033
Crossover Probability:, 0.3
Run Number, Generation, Average Fitness, Best Fitness, Number of Correct Bits, Best Genetic String
0,0,0.11227,0.993999,14,'11111111110110001001'
0,1,0.456835,0.993999,14,'11111111110110001001'
0,2,0.598027,0.998866,15,'11111111111110001001'
0,3,0.76479,0.999171,16,'11111111111110101001'
0,4,0.800715,0.998161,18,'11111111111100111111'
0,5,0.824556,0.99398,15,'11111111110110000111'
0,6,0.83416,0.993743,16,'11111111110101101110'
0,7,0.869153,0.995251,14,'11111111111000001101'
0,8,0.785449,0.996135,15,'11111111111001101010'
0,9,0.738413,0.997999,16,'11111111111100101110'

Run Number, Generation, Average Fitness, Best Fitness, Number of Correct Bits, Best Genetic String
1,0,0.0330818,0.274299,8,'11100000111100000001'
1,1,0.124364,0.312785,11,'11100011111010010010'
1,2,0.274774,0.997266,15,'11111111111011100001'
1,3,0.421268,0.997342,16,'11111111111011101001'
1,4,0.505873,0.997419,16,'11111111111011110001'
1,5,0.829425,0.997438,17,'11111111111011110011'
1,6,0.6179,0.997438,17,'11111111111011110011'
1,7,0.725692,0.997438,17,'11111111111011110011'
1,8,0.716098,0.997438,17,'11111111111011110011'
1,9,0.758372,0.997438,17,'11111111111011110011'

Run Number, Generation, Average Fitness, Best Fitness, Number of Correct Bits, Best Genetic String
2,0,0.138583,0.947978,13,'11111110101000101101'
2,1,0.654948,0.997181,15,'11111111111011011000'
2,2,0.582947,0.982684,14,'11111111100011011010'
2,3,0.525469,0.982684,14,'11111111100011011010'
2,4,0.673378,0.982684,14,'11111111100011011010'
2,5,0.589377,0.987483,14,'11111111101011011000'
2,6,0.599138,0.845255,16,'11111011101110110111'
2,7,0.650288,0.845255,16,'11111011101110110111'
2,8,0.710512,0.845255,16,'11111011101110110111'
2,9,0.672421,0.831034,13,'11111011010011100011'

Run Number, Generation, Average Fitness, Best Fitness, Number of Correct Bits, Best Genetic String
3,0,0.086975,0.935985,15,'11111110010011111110'
3,1,0.252561,0.927903,14,'11111110000101110111'
3,2,0.567827,0.963958,15,'11111111000011111110'
3,3,0.706221,0.932514,15,'11111110001101111011'
3,4,0.79899,0.975461,15,'11111111010111010110'
3,5,0.694002,0.963967,16,'11111111000011111111'
3,6,0.67754,0.963967,16,'11111111000011111111'
3,7,0.742148,0.926763,14,'11111110000011110111'
3,8,0.746947,0.926763,14,'11111110000011110111'
3,9,0.811733,0.968702,17,'11111111001011111111'

Run Number, Generation, Average Fitness, Best Fitness, Number of Correct Bits, Best Genetic String
4,0,0.156497,0.89003,12,'11111101000010001111'
4,1,0.651009,0.890915,13,'11111101000011110110'
4,2,0.638805,0.963884,14,'11111111000011110110'
4,3,0.708291,0.963229,14,'11111111000010101111'
4,4,0.68341,0.907775,13,'11111101100010001111'
4,5,0.749588,0.908334,14,'11111101100011001111'
4,6,0.723063,0.908334,14,'11111101100011001111'
4,7,0.575755,0.91226,14,'11111101101010001111'
4,8,0.826651,0.981924,12,'11111111100010001001'
4,9,0.75171,0.981924,12,'11111111100010001001'

Simulation Parameters:
Seed:, 3833228907
Population Size:, 30
Generations:, 10
Number of Genes:, 20
Mutation Probability:, 0.033
Crossover Probability:, 0.4
Run Number, Generation, Average Fitness, Best Fitness, Number of Correct Bits, Best Genetic String
0,0,0.0772143,0.96322,13,'11111111000010101110'
0,1,0.477789,0.992482,15,'11111111110011101001'
0,2,0.53132,0.987039,14,'11111111101010101001'
0,3,0.715825,0.986361,13,'11111111101001100001'
0,4,0.844658,0.988803,14,'11111111101101100100'
0,5,0.8395,0.988803,14,'11111111101101100100'
0,6,0.748281,0.988803,14,'11111111101101100100'
0,7,0.736099,0.988803,14,'11111111101101100100'
0,8,0.874204,0.989984,15,'11111111101111100001'
0,9,0.776837,0.988851,15,'11111111101101101001'

Run Number, Generation, Average Fitness, Best Fitness, Number of Correct Bits, Best Genetic String
1,0,0.1347,0.958813,16,'11111110111011001111'
