Experiment:,Vary_Gene_String_Length

Simulation Parameters:
Seed:, 678940304
Population Size:, 30
Generations:, 10
Number of Genes:, 5
Mutation Probability:, 0.033
Crossover Probability:, 0.6
Run Number, Generation, Average Fitness, Best Fitness, Number of Correct Bits, Best Genetic String
0,0,0.0439387,0.263076,3,'11100'
0,1,0.185795,0.52446,4,'11110'
0,2,0.283056,0.52446,4,'11110'
0,3,0.432806,0.727976,5,'11111'
0,4,0.493997,0.727976,5,'11111'
0,5,0.494212,0.727976,5,'11111'
0,6,0.410585,0.52446,4,'11110'
0,7,0.495146,0.727976,5,'11111'
0,8,0.5073,0.727976,5,'11111'
0,9,0.498539,0.727976,5,'11111'

Run Number, Generation, Average Fitness, Best Fitness, Number of Correct Bits, Best Genetic String
1,0,0.120512,0.727976,5,'11111'
1,1,0.453561,0.727976,5,'11111'
1,2,0.399387,0.727976,5,'11111'
1,3,0.619134,0.727976,5,'11111'
1,4,0.602714,0.727976,5,'11111'
1,5,0.667387,0.727976,5,'11111'
1,6,0.675113,0.727976,5,'11111'
1,7,0.64022,0.727976,5,'11111'
1,8,0.583256,0.727976,5,'11111'
1,9,0.58723,0.727976,5,'11111'

Run Number, Generation, Average Fitness, Best Fitness, Number of Correct Bits, Best Genetic String
2,0,0.0684172,0.52446,4,'11110'
2,1,0.298304,0.727976,5,'11111'
2,2,0.445324,0.727976,5,'11111'
2,3,0.528121,0.727976,5,'11111'
2,4,0.534133,0.727976,5,'11111'
2,5,0.532155,0.727976,5,'11111'
2,6,0.638767,0.727976,5,'11111'
2,7,0.643217,0.727976,5,'11111'
2,8,0.518261,0.727976,5,'11111'
2,9,0.598117,0.727976,5,'11111'

Run Number, Generation, Average Fitness, Best Fitness, Number of Correct Bits, Best Genetic String
3,0,0.0950009,0.727976,5,'11111'
3,1,0.342275,0.727976,5,'11111'
3,2,0.496831,0.727976,5,'11111'
3,3,0.674663,0.727976,5,'11111'
3,4,0.684585,0.727976,5,'11111'
3,5,0.648497,0.727976,5,'11111'
3,6,0.656439,0.727976,5,'11111'
3,7,0.668015,0.727976,5,'11111'
3,8,0.553777,0.727976,5,'11111'
3,9,0.595331,0.727976,5,'11111'

Run Number, Generation, Average Fitness, Best Fitness, Number of Correct Bits, Best Genetic String
4,0,0.031448,0.263076,3,'11100'
4,1,0.223805,0.52446,4,'11110'
4,2,0.242881,0.52446,4,'11110'
4,3,0.247842,0.52446,4,'11110'
4,4,0.261866,0.52446,4,'11110'
4,5,0.289883,0.727976,5,'11111'
4,6,0.377944,0.727976,5,'11111'
4,7,0.40787,0.727976,5,'11111'
4,8,0.379376,0.727976,5,'11111'
4,9,0.352878,0.727976,5,'11111'

Simulation Parameters:
Seed:, 3289261163
Population Size:, 30
Generations:, 10
Number of Genes:, 10
Mutation Probability:, 0.033
Crossover Probability:, 0.6
Run Number, Generation, Average Fitness, Best Fitness, Number of Correct Bits, Best Genetic String
0,0,0.128079,0.854291,6,'1111110000'
0,1,0.511751,0.862804,7,'1111110001'
0,2,0.555749,0.880059,8,'1111110011'
0,3,0.664134,0.952231,9,'1111111011'
0,4,0.698296,0.990277,10,'1111111111'
