Experiment:,Vary_Generation_Count,,,,
,,,,,
Simulation Parameters:,,,,,
Seed:,2397997808,,,,
Population Size:,30,,,,
Generations:,10,,,,
Number of Genes:,20,,,,
Mutation Probability:,0.033,,,,
Crossover Probability:,0.6,,,,
Run Number, Generation, Average Fitness, Best Fitness, Number of Correct Bits, Best Genetic String
0,0,0.102027,0.967952,14,'11111111001010101110'
0,1,0.563352,0.971718,11,'11111111010001000100'
0,2,0.706444,0.971737,12,'11111111010001000110'
0,3,0.719877,0.977477,15,'11111111011010101110'
0,4,0.766541,0.977477,15,'11111111011010101110'
0,5,0.783934,0.977486,16,'11111111011010101111'
0,6,0.709248,0.97182,14,'11111111010001001111'
0,7,0.688017,0.967655,13,'11111111001010001110'
0,8,0.674847,0.912532,14,'11111101101010101110'
0,9,0.739633,0.912532,14,'11111101101010101110'
,,,,,
Run Number, Generation, Average Fitness, Best Fitness, Number of Correct Bits, Best Genetic String
1,0,0.102743,0.734553,10,'11111000001110010010'
1,1,0.501041,0.861444,13,'11111100001101011101'
1,2,0.473862,0.861886,11,'11111100001110010010'
1,3,0.515236,0.762712,10,'11111001001010001010'
1,4,0.459605,0.731661,7,'11111000001000000001'
1,5,0.502147,0.793348,10,'11111010001001000101'
1,6,0.545223,0.8173,12,'11111010111000110001'
1,7,0.488071,0.818406,14,'11111010111010111100'
1,8,0.523323,0.818406,14,'11111010111010111100'
1,9,0.491249,0.793008,10,'11111010001000011001'
,,,,,
Run Number, Generation, Average Fitness, Best Fitness, Number of Correct Bits, Best Genetic String
2,0,0.06633,0.655429,10,'11110101011010010000'
2,1,0.332117,0.864367,13,'11111100010010111011'
2,2,0.514508,0.88165,14,'11111100110010111011'
2,3,0.635749,0.894808,13,'11111101001010111010'
2,4,0.586828,0.881565,12,'11111100110010110001'
2,5,0.644703,0.885652,11,'11111100111010010000'
2,6,0.59073,0.970362,14,'11111111001110110010'
2,7,0.611196,0.970362,14,'11111111001110110010'
2,8,0.662336,0.966443,12,'11111111001000001011'
2,9,0.645565,0.912225,13,'11111101101010001011'
,,,,,
Run Number, Generation, Average Fitness, Best Fitness, Number of Correct Bits, Best Genetic String
3,0,0.157157,0.766015,10,'11111001010001000011'
3,1,0.370473,0.781031,10,'11111001110000000011'
3,2,0.381306,0.905749,15,'11111101011110100111'
3,3,0.39762,0.923775,16,'11111101111110100111'
3,4,0.412973,0.923775,16,'11111101111110100111'
3,5,0.455353,0.916871,14,'11111101110010011011'
3,6,0.629278,0.979768,15,'11111111011110100011'
3,7,0.722875,0.92255,15,'11111101111100011101'
3,8,0.74932,0.923668,16,'11111101111110011011'
3,9,0.603667,0.922532,15,'11111101111100011011'
,,,,,
Run Number, Generation, Average Fitness, Best Fitness, Number of Correct Bits, Best Genetic String
4,0,0.0474022,0.852067,16,'11111011111011110011'
4,1,0.478866,0.997438,17,'11111111111011110011'
4,2,0.763565,0.923348,17,'11111101111101110111'
4,3,0.703904,0.996981,15,'11111111111011000011'
4,4,0.760172,0.996981,15,'11111111111011000011'
4,5,0.792505,0.996981,15,'11111111111011000011'
4,6,0.813666,0.923313,16,'11111101111101110011'
4,7,0.696239,0.99379,16,'11111111110101110011'
4,8,0.70004,0.995593,14,'11111111111000110001'
4,9,0.773391,0.99379,16,'11111111110101110011'
,,,,,
Simulation Parameters:,,,,,
Seed:,231725779,,,,
Population Size:,30,,,,
Generations:,20,,,,
Number of Genes:,20,,,,
Mutation Probability:,0.033,,,,
Crossover Probability:,0.6,,,,
Run Number, Generation, Average Fitness, Best Fitness, Number of Correct Bits, Best Genetic String
0,0,0.125206,0.879753,14,'11111100101111011100'
0,1,0.375198,0.951902,15,'11111110101111011100'
0,2,0.710012,0.935985,15,'11111110010011111110'
0,3,0.658563,0.935698,14,'11111110010011011110'
0,4,0.674685,0.935698,14,'11111110010011011110'
0,5,0.727889,0.899383,13,'11111101010011001011'
0,6,0.68204,0.940533,16,'11111110011011110111'
0,7,0.768538,0.940533,16,'11111110011011110111'
0,8,0.765862,0.940533,16,'11111110011011110111'
0,9,0.740895,0.958886,16,'11111110111011010111'
0,10,0.779207,0.95918,17,'11111110111011110111'
0,11,0.789608,0.973122,15,'11111111010011011011'
0,12,0.693167,0.940208,14,'11111110011011010011'
0,13,0.650545,0.977935,17,'11111111011011011111'
0,14,0.682884,0.976394,14,'11111111011000111010'
0,15,0.826707,0.997133,16,'11111111111011010011'
0,16,0.6254,0.986549,15,'11111111101001110101'
0,17,0.731132,0.986549,15,'11111111101001110101'
0,18,0.766506,0.999762,18,'11111111111111100111'
0,19,0.773548,0.996258,17,'11111111111001110111'
,,,,,
Run Number, Generation, Average Fitness, Best Fitness, Number of Correct Bits, Best Genetic String
1,0,0.0666415,0.802603,13,'11111010011011101010'
1,1,0.461925,0.908999,13,'11111101100100011011'
1,2,0.550231,0.909559,14,'11111101100101011011'
1,3,0.60172,0.985551,13,'11111111101000001011'
1,4,0.523937,0.909559,14,'11111101100101011011'
1,5,0.724158,0.914053,15,'11111101101101011011'
1,6,0.756274,0.915576,10,'11111101110000001000'
1,7,0.819808,0.918566,15,'11111101110101011011'
1,8,0.900139,0.982215,12,'11111111100010101000'
1,9,0.848729,0.917763,10,'11111101110100000000'
1,10,0.772541,0.913385,14,'11111101101100001111'
1,11,0.677841,0.91892,13,'11111101110110000011'
1,12,0.692167,0.91892,13,'11111101110110000011'
