Experiment:,Vary_Mutation_Prob_ConstantPop

Simulation Parameters:
Seed:, 2111981543
Population Size:, 30
Generations:, 10
Number of Genes:, 20
Mutation Probability:, 0.02
Crossover Probability:, 0.6
Run Number, Generation, Average Fitness, Best Fitness, Number of Correct Bits, Best Genetic String
0,0,0.0849203,0.681537,14,'11110110010111101110'
0,1,0.415581,0.681537,14,'11110110010111101110'
0,2,0.350817,0.682537,10,'11110110011010000010'
0,3,0.455849,0.793294,12,'11111010001000111110'
0,4,0.528754,0.793294,12,'11111010001000111110'
0,5,0.649925,0.930286,10,'11111110001010000010'
0,6,0.708365,0.966915,14,'11111111001000111110'
0,7,0.721444,0.825585,13,'11111011001000111110'
0,8,0.733138,0.826082,13,'11111011001001111100'
0,9,0.746284,0.966748,12,'11111111001000101100'

Run Number, Generation, Average Fitness, Best Fitness, Number of Correct Bits, Best Genetic String
1,0,0.075533,0.915593,11,'11111101110000001010'
1,1,0.379713,0.941653,15,'11111110011101110011'
1,2,0.701031,0.952322,11,'11111110110000001010'
1,3,0.825778,0.952322,11,'11111110110000001010'
1,4,0.84213,0.990457,13,'11111111110000010011'
1,5,0.816862,0.954661,12,'11111110110100001010'
1,6,0.798897,0.954661,12,'11111110110100001010'
1,7,0.834034,0.953564,12,'11111110110010010010'
1,8,0.880654,0.954734,12,'11111110110100010010'
1,9,0.877119,0.991053,13,'11111111110001010010'

Run Number, Generation, Average Fitness, Best Fitness, Number of Correct Bits, Best Genetic String
2,0,0.0694288,0.544521,11,'11110000111001110001'
2,1,0.201545,0.762376,12,'11111001001001011101'
2,2,0.228622,0.761801,8,'11111001001000010000'
2,3,0.336872,0.825216,9,'11111011001000010000'
2,4,0.435956,0.825224,10,'11111011001000010001'
2,5,0.612655,0.841794,10,'11111011101000010000'
2,6,0.699173,0.894006,13,'11111101001001011101'
2,7,0.6546,0.966498,11,'11111111001000010001'
2,8,0.671768,0.966609,13,'11111111001000011101'
2,9,0.76883,0.967202,14,'11111111001001011101'

Run Number, Generation, Average Fitness, Best Fitness, Number of Correct Bits, Best Genetic String
3,0,0.0655662,0.686252,11,'11110110100010100110'
3,1,0.23496,0.719004,13,'11110111101100010101'
3,2,0.480135,0.716739,14,'11110111100111010101'
3,3,0.628044,0.716739,14,'11110111100111010101'
