Problem:, 1
Experiment:, Vary_Cognition

SIMULATION INFORMATION
Seed: 3747441315
Convergence Epoch:, 19
Particles:, 50
Inertia:, 0.100000
Cognition:, 0.500000
Social:, 1.000000
Maximum Velocity:, 7.000000

Particle Positions upon Convergence
Particle Number:, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 
X Coordinate:, 20.000003, 20.000001, 20.000003, 19.999998, 20.000000, 20.000000, 20.000001, 19.999999, 20.000000, 20.000013, 20.000001, 19.999503, 20.000003, 20.000000, 19.999999, 19.999996, 19.999998, 20.000000, 20.000040, 20.000004, 20.000000, 20.000003, 20.000000, 19.999975, 20.000000, 20.000000, 20.000001, 20.000001, 20.000320, 20.000018, 20.000001, 19.999996, 20.000004, 20.000000, 20.000000, 20.000000, 19.999724, 19.999997, 20.000000, 19.999992, 20.000001, 20.000000, 20.000197, 19.999999, 19.999931, 20.000000, 20.000000, 19.999989, 20.000000, 20.000000, 
Y Coordinate:, 6.999990, 6.999999, 7.000003, 7.000001, 7.000000, 7.000000, 6.999999, 7.000000, 7.000001, 7.000016, 6.999999, 6.999305, 6.999996, 7.000000, 7.000000, 7.000043, 7.000006, 6.999998, 7.000049, 7.000007, 7.000001, 6.999998, 7.000000, 7.000017, 7.000000, 7.000000, 7.000000, 7.000002, 7.000280, 7.000001, 6.999998, 6.999998, 7.000010, 6.999999, 7.000000, 7.000000, 6.999758, 7.000021, 6.999999, 6.999990, 7.000001, 7.000000, 6.999950, 6.999996, 6.999977, 7.000000, 7.000000, 6.999980, 7.000000, 7.000000, 

Epoch:, X Error, Y Error, Avg Fitness, Avg Distance from Max, Fraction of Close Particles
0, 22.698276, 19.595564, 39.255607, 42.952772, 0
1, 16.196379, 12.664195, 62.404662, 26.583919, 0
2, 11.493831, 8.343786, 80.370873, 13.879889, 0
3, 7.313434, 5.097537, 89.671955, 7.303030, 0
4, 3.301755, 3.195777, 94.942092, 3.576481, 0
5, 1.875501, 1.903814, 97.612779, 1.688020, 0
6, 1.291829, 1.568388, 98.662635, 0.945660, 0
7, 1.045526, 1.480030, 99.153581, 0.598509, 0
8, 0.701903, 0.998503, 99.473842, 0.372050, 0.02
9, 0.306225, 0.440763, 99.767856, 0.164150, 0.02
10, 0.134912, 0.192512, 99.900190, 0.070576, 0.08
11, 0.053637, 0.076029, 99.961346, 0.027333, 0.32
12, 0.043263, 0.060448, 99.973314, 0.018870, 0.58
13, 0.008365, 0.011655, 99.993885, 0.004324, 0.7
14, 0.003478, 0.004719, 99.997296, 0.001912, 0.82
15, 0.003610, 0.005035, 99.997799, 0.001556, 0.86
16, 0.002222, 0.003102, 99.998691, 0.000925, 0.94
17, 0.000838, 0.001166, 99.999476, 0.000370, 0.98
18, 0.000091, 0.000099, 99.999914, 0.000061, 0.98


SIMULATION INFORMATION
Seed: 1645451369
Convergence Epoch:, 18
Particles:, 50
Inertia:, 0.100000
Cognition:, 1.000000
Social:, 1.000000
Maximum Velocity:, 7.000000

Particle Positions upon Convergence
Particle Number:, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 
X Coordinate:, 19.999998, 20.000019, 20.000003, 19.999999, 20.000001, 20.000005, 20.000005, 19.999999, 20.000001, 19.999987, 20.000000, 19.999998, 20.000019, 19.999997, 19.999976, 19.999984, 19.999998, 19.999979, 20.000000, 20.000000, 20.000023, 20.000008, 20.000001, 19.999993, 20.000000, 20.000122, 19.999998, 19.999999, 20.000062, 20.000005, 19.999992, 20.000349, 20.000003, 19.999996, 19.999750, 20.000012, 20.000002, 20.000008, 20.000008, 20.000000, 20.000005, 20.000064, 20.000091, 19.999999, 19.999988, 19.999992, 19.999998, 20.000001, 20.000000, 20.000001, 
Y Coordinate:, 7.000005, 6.999991, 6.999999, 7.000004, 6.999997, 7.000001, 7.000005, 6.999999, 6.999999, 7.000015, 6.999999, 6.999997, 6.999993, 6.999996, 7.000001, 6.999987, 6.999999, 6.999983, 7.000000, 7.000001, 7.000017, 7.000008, 6.999998, 7.000002, 6.999998, 7.000404, 7.000004, 7.000001, 7.000037, 6.999992, 6.999992, 6.999992, 6.999981, 6.999995, 6.999861, 6.999988, 7.000008, 7.000016, 6.999998, 7.000001, 6.999999, 7.000027, 6.999961, 7.000002, 6.999926, 6.999997, 7.000002, 6.999999, 7.000002, 7.000000, 

Epoch:, X Error, Y Error, Avg Fitness, Avg Distance from Max, Fraction of Close Particles
0, 30.312183, 22.119161, 32.071406, 48.032770, 0
1, 22.698841, 15.487815, 52.969954, 33.255265, 0
2, 14.359646, 10.059328, 74.136353, 18.288360, 0
3, 7.772315, 5.268115, 88.971317, 7.798457, 0
4, 4.611392, 3.285683, 94.284346, 4.041578, 0
5, 2.062625, 1.558812, 97.541416, 1.738481, 0
6, 1.008473, 0.766772, 98.889249, 0.785419, 0
7, 0.554563, 0.337754, 99.376863, 0.440625, 0
8, 0.242864, 0.125467, 99.742930, 0.181776, 0.02
9, 0.120385, 0.044601, 99.888159, 0.079083, 0.02
10, 0.096904, 0.029345, 99.930078, 0.049443, 0.08
11, 0.024841, 0.018266, 99.976663, 0.016501, 0.2
12, 0.021908, 0.011635, 99.986573, 0.009494, 0.38
13, 0.014556, 0.007876, 99.991384, 0.006092, 0.58
14, 0.004577, 0.002519, 99.996938, 0.002165, 0.72
15, 0.002295, 0.000776, 99.998567, 0.001013, 0.88
16, 0.001036, 0.000471, 99.999325, 0.000477, 0.94
17, 0.000247, 0.000130, 99.999823, 0.000125, 0.96


SIMULATION INFORMATION
