Problem:, 1
Experiment:, Vary_Inertia

SIMULATION INFORMATION
Seed: 2415275953
Convergence Epoch:, 18
Particles:, 50
Inertia:, 0.100000
Cognition:, 0.500000
Social:, 1.000000
Maximum Velocity:, 7.000000

Particle Positions upon Convergence
Particle Number:, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 
X Coordinate:, 20.000000, 19.999999, 19.999960, 20.000001, 20.000091, 19.999997, 20.000000, 19.999998, 20.000000, 20.000001, 20.000000, 20.000000, 20.000022, 19.999998, 20.000000, 20.000001, 20.000000, 20.000000, 20.000000, 20.000000, 20.000000, 20.000000, 20.000000, 20.000000, 20.000004, 20.000000, 19.999999, 20.000001, 19.999996, 20.000000, 20.000037, 20.000025, 19.999998, 19.999993, 20.000795, 20.000007, 19.999983, 20.000000, 19.999996, 20.000000, 20.000000, 20.000000, 20.000000, 19.999993, 19.999999, 20.000000, 20.000197, 20.000002, 20.000010, 20.000000, 
Y Coordinate:, 7.000000, 6.999972, 6.999993, 7.000002, 6.999999, 6.999997, 7.000000, 7.000000, 7.000000, 6.999999, 7.000000, 6.999999, 7.000020, 7.000006, 7.000001, 6.999999, 7.000000, 7.000000, 7.000000, 7.000000, 6.999999, 7.000000, 7.000000, 7.000001, 6.999979, 7.000000, 7.000002, 7.000000, 6.999991, 7.000000, 6.999827, 6.999972, 6.999995, 7.000008, 6.999671, 7.000000, 7.000000, 7.000000, 7.000000, 7.000000, 7.000000, 7.000000, 7.000000, 6.999994, 7.000000, 7.000000, 7.000175, 6.999998, 7.000015, 7.000000, 

Epoch:, X Error, Y Error, Avg Fitness, Avg Distance from Max, Fraction of Close Particles
0, 21.011016, 22.184434, 41.979327, 41.026811, 0
1, 14.637308, 13.919228, 68.371079, 22.365025, 0
2, 9.455051, 8.075113, 84.807962, 10.742393, 0
3, 7.086572, 6.797431, 90.355230, 6.819882, 0
4, 4.639851, 5.633617, 94.575319, 3.835829, 0
5, 2.982997, 4.485187, 96.749037, 2.298778, 0
6, 1.247618, 1.265109, 98.810479, 0.841119, 0
7, 0.893940, 0.804482, 99.289911, 0.502109, 0
8, 0.649937, 0.500732, 99.578959, 0.297721, 0.02
9, 0.139895, 0.191060, 99.867882, 0.093421, 0.08
10, 0.047221, 0.116375, 99.941185, 0.041588, 0.28
11, 0.025708, 0.067931, 99.966541, 0.023659, 0.48
12, 0.015763, 0.056906, 99.977800, 0.015698, 0.68
13, 0.006345, 0.027849, 99.990244, 0.006898, 0.82
14, 0.003023, 0.013807, 99.995564, 0.003137, 0.94
15, 0.001116, 0.004900, 99.998314, 0.001192, 0.92
16, 0.000353, 0.001313, 99.999514, 0.000343, 0.96
17, 0.000167, 0.000356, 99.999824, 0.000125, 0.96


SIMULATION INFORMATION
Seed: 1640730073
Convergence Epoch:, 18
Particles:, 50
Inertia:, 0.200000
Cognition:, 0.500000
Social:, 1.000000
Maximum Velocity:, 7.000000

Particle Positions upon Convergence
Particle Number:, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 
