Problem:, 1
Experiment:, Vary_Social

SIMULATION INFORMATION
Seed: 2106970081
Convergence Epoch:, 33
Particles:, 50
Inertia:, 0.100000
Cognition:, 0.500000
Social:, 0.500000
Maximum Velocity:, 7.000000

Particle Positions upon Convergence
Particle Number:, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 
X Coordinate:, 19.999749, 19.999923, 19.999968, 19.999019, 19.999898, 19.999874, 19.999921, 19.999915, 19.999978, 19.999584, 20.000023, 19.999971, 19.996116, 19.999901, 19.999819, 19.999350, 19.999600, 19.999662, 19.999441, 20.000022, 19.999975, 19.999928, 19.999930, 19.999971, 19.999995, 19.999966, 19.999981, 20.000222, 19.999969, 19.999923, 20.000056, 19.999944, 19.999615, 19.999741, 19.999974, 19.999977, 19.999810, 19.999947, 19.999969, 19.999956, 19.997386, 19.999945, 19.999780, 20.000303, 19.999995, 19.997039, 19.999697, 19.999980, 19.999967, 19.999660, 
Y Coordinate:, 6.999684, 7.000038, 6.999993, 7.000601, 7.000161, 6.999972, 7.000025, 7.000080, 6.999995, 6.999868, 7.000619, 6.999996, 7.001533, 6.999971, 6.999837, 7.000058, 6.999974, 6.999984, 6.999274, 7.000097, 7.000012, 7.000015, 7.000132, 7.000007, 7.000030, 7.000165, 6.999993, 6.999818, 6.999995, 6.999991, 6.999972, 7.000382, 6.999443, 7.000116, 6.999996, 7.000010, 7.000222, 7.000059, 7.000015, 6.999997, 6.998453, 7.000009, 6.999867, 6.999723, 7.000330, 6.998423, 7.000221, 6.999999, 7.000034, 7.000857, 

Epoch:, X Error, Y Error, Avg Fitness, Avg Distance from Max, Fraction of Close Particles
0, 22.559271, 26.033507, 39.120402, 43.048377, 0
1, 20.465186, 19.513667, 53.454447, 32.912676, 0
2, 15.257865, 13.927149, 65.600804, 24.323905, 0
3, 10.948424, 9.049043, 75.628931, 17.232948, 0
4, 8.251041, 6.969190, 82.425947, 12.426732, 0
5, 6.202870, 5.033393, 87.278667, 8.995341, 0
6, 4.772773, 3.686539, 90.651419, 6.610445, 0
7, 3.331892, 2.376736, 93.635028, 4.500715, 0
8, 2.396754, 1.558529, 95.693166, 3.045392, 0
9, 1.811362, 1.174399, 96.761396, 2.290039, 0
10, 1.272718, 0.830145, 97.771318, 1.575916, 0
11, 0.927833, 0.580157, 98.461927, 1.087582, 0
12, 0.664685, 0.454772, 98.930915, 0.755957, 0
13, 0.518483, 0.366019, 99.185793, 0.575731, 0
14, 0.365811, 0.276340, 99.425732, 0.406069, 0
15, 0.243329, 0.186527, 99.613251, 0.273473, 0
16, 0.207326, 0.138748, 99.711774, 0.203806, 0
17, 0.152823, 0.101402, 99.795120, 0.144872, 0
18, 0.095908, 0.071519, 99.861179, 0.098161, 0
19, 0.082774, 0.054449, 99.894536, 0.074574, 0
20, 0.047323, 0.031296, 99.937537, 0.044168, 0
21, 0.033803, 0.021769, 99.956564, 0.030714, 0
22, 0.023926, 0.014728, 99.970426, 0.020912, 0.04
23, 0.014712, 0.008650, 99.980954, 0.013467, 0.08
24, 0.009575, 0.005595, 99.986886, 0.009273, 0.12
25, 0.006828, 0.003987, 99.990556, 0.006678, 0.22
26, 0.005393, 0.002957, 99.992797, 0.005093, 0.34
27, 0.004022, 0.002103, 99.994912, 0.003598, 0.34
28, 0.003257, 0.001750, 99.996210, 0.002680, 0.5
29, 0.002028, 0.001182, 99.997598, 0.001698, 0.58
30, 0.001514, 0.000866, 99.998250, 0.001237, 0.68
31, 0.001075, 0.000614, 99.998765, 0.000873, 0.78
32, 0.000711, 0.000426, 99.999161, 0.000593, 0.84


SIMULATION INFORMATION
Seed: 3834641301
Convergence Epoch:, 15
Particles:, 50
Inertia:, 0.100000
Cognition:, 0.500000
Social:, 1.000000
Maximum Velocity:, 7.000000

Particle Positions upon Convergence
Particle Number:, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 
X Coordinate:, 19.999629, 20.000006, 19.999892, 19.999997, 20.000011, 20.000099, 20.000014, 19.999653, 20.000158, 19.999995, 20.000028, 20.000000, 20.000026, 19.999989, 19.999997, 19.998733, 19.999914, 20.000035, 20.000020, 19.999996, 19.999972, 20.000097, 20.000063, 20.000029, 19.999984, 20.000013, 20.000080, 19.999990, 20.000001, 20.000089, 20.000031, 19.999984, 19.999954, 19.999998, 20.000013, 19.999874, 20.002930, 19.999996, 19.999968, 19.999850, 19.999972, 20.000442, 19.999997, 19.999995, 20.000012, 20.000063, 19.999913, 19.999971, 20.000015, 19.999981, 
Y Coordinate:, 6.999946, 7.000032, 7.000017, 6.999993, 6.999994, 7.000211, 7.000062, 7.000009, 7.000111, 6.999997, 6.999993, 7.000006, 6.999987, 7.000033, 6.999979, 6.999835, 6.999946, 7.000015, 7.000022, 7.000009, 6.999993, 6.999785, 6.999918, 7.000037, 7.000114, 7.000112, 7.000164, 6.999998, 6.999980, 6.999760, 7.000012, 7.000000, 6.999795, 7.000120, 7.000018, 7.000075, 7.002873, 6.999994, 6.999992, 7.000175, 6.999951, 6.999609, 6.999994, 6.999993, 6.999947, 7.000005, 7.000020, 7.000224, 6.999990, 6.999999, 

Epoch:, X Error, Y Error, Avg Fitness, Avg Distance from Max, Fraction of Close Particles
0, 26.422475, 18.995581, 43.050293, 40.269524, 0
1, 14.979695, 10.822611, 70.392810, 20.935445, 0
2, 7.248106, 6.685801, 87.127150, 9.102479, 0
3, 3.407177, 2.974549, 94.287889, 4.039073, 0
4, 2.196575, 1.956896, 96.967024, 2.144638, 0
5, 1.289939, 1.229733, 98.491028, 1.067005, 0
6, 0.398395, 0.345640, 99.434747, 0.399694, 0
7, 0.141844, 0.114704, 99.809739, 0.134535, 0.02
8, 0.106389, 0.092387, 99.871479, 0.090878, 0.02
9, 0.025827, 0.020514, 99.962118, 0.026786, 0.04
10, 0.013334, 0.008207, 99.985357, 0.010354, 0.16
11, 0.007875, 0.006021, 99.992150, 0.005551, 0.4
12, 0.003036, 0.002597, 99.996861, 0.002220, 0.62
13, 0.001532, 0.001100, 99.998558, 0.001020, 0.78
14, 0.000695, 0.000643, 99.999391, 0.000431, 0.94


SIMULATION INFORMATION
Seed: 2744368634
Convergence Epoch:, 17
Particles:, 50
Inertia:, 0.100000
Cognition:, 0.500000
Social:, 1.500000
Maximum Velocity:, 7.000000

Particle Positions upon Convergence
Particle Number:, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 
X Coordinate:, 20.000014, 20.000036, 20.000004, 19.999992, 20.002319, 20.000024, 19.999967, 20.000065, 20.000002, 20.000008, 20.000086, 20.000001, 20.000006, 20.000004, 19.999967, 19.999889, 19.999997, 19.999983, 20.000028, 20.000006, 20.000002, 19.999977, 20.000007, 20.000003, 19.999994, 19.999990, 20.000008, 20.000029, 20.000026, 19.999479, 19.999992, 20.000018, 20.000264, 19.999992, 19.999835, 19.999952, 20.000124, 19.999833, 20.000033, 19.998888, 20.000006, 19.999944, 19.999996, 19.999976, 20.000196, 20.000004, 20.000000, 20.000015, 20.000008, 19.999951, 
Y Coordinate:, 7.000000, 7.000013, 7.000005, 6.999989, 7.001666, 6.999998, 6.999986, 6.999936, 6.999993, 6.999993, 7.000088, 7.000007, 6.999997, 7.000000, 6.999986, 6.999958, 7.000006, 7.000002, 6.999990, 6.999995, 7.000001, 7.000009, 6.999999, 7.000006, 7.000008, 7.000000, 7.000003, 7.000028, 7.000022, 7.000309, 7.000009, 6.999990, 7.000223, 6.999990, 7.000032, 7.000144, 6.999556, 6.999886, 6.999992, 7.001805, 7.000005, 6.999770, 6.999995, 6.999971, 6.999997, 7.000004, 7.000001, 6.999991, 6.999995, 7.000049, 

Epoch:, X Error, Y Error, Avg Fitness, Avg Distance from Max, Fraction of Close Particles
0, 24.934231, 20.608591, 38.199297, 43.699696, 0
1, 18.703977, 15.016372, 60.492444, 27.936061, 0
2, 12.199046, 10.966603, 77.382080, 15.993285, 0
3, 5.774602, 6.555911, 89.704446, 7.280056, 0
4, 2.334042, 2.102057, 96.140726, 2.728919, 0
5, 1.456551, 1.278468, 97.911874, 1.476528, 0
6, 0.477693, 0.525599, 99.172920, 0.584834, 0
7, 0.189852, 0.196235, 99.684309, 0.223227, 0
8, 0.081713, 0.069174, 99.882047, 0.083405, 0
9, 0.045019, 0.036501, 99.942105, 0.040938, 0.02
10, 0.020091, 0.016276, 99.974311, 0.018165, 0.14
11, 0.014300, 0.011245, 99.985735, 0.010087, 0.28
12, 0.004173, 0.002998, 99.994935, 0.003582, 0.42
13, 0.002905, 0.002201, 99.996966, 0.002146, 0.56
14, 0.001254, 0.001036, 99.998460, 0.001089, 0.72
15, 0.001207, 0.000938, 99.999110, 0.000629, 0.9
16, 0.000687, 0.000536, 99.999487, 0.000363, 0.94


SIMULATION INFORMATION
Seed: 1789898980
Convergence Epoch:, 21
Particles:, 50
Inertia:, 0.100000
Cognition:, 0.500000
Social:, 2.000000
Maximum Velocity:, 7.000000

Particle Positions upon Convergence
Particle Number:, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 
X Coordinate:, 19.999914, 19.999999, 19.999970, 20.000000, 19.999997, 20.000123, 19.999999, 19.999999, 20.000005, 20.000001, 20.000011, 19.999999, 19.999254, 19.999812, 20.000002, 20.000000, 19.999997, 19.999973, 19.999973, 20.000069, 19.999972, 20.000000, 20.000002, 20.000016, 20.000060, 19.999963, 19.999995, 19.999999, 20.000004, 20.000002, 20.001225, 20.000135, 20.000000, 19.999999, 20.000003, 19.998960, 20.000024, 19.999907, 20.000008, 19.999999, 19.999956, 20.000011, 20.000083, 20.000003, 20.000000, 20.000006, 19.999998, 20.000006, 20.000003, 20.000023, 
