Batch Test Top 10 Simulation Parameters for Problem 2,,,,,,,,,,,,,,,,,,,,,
Total Parameter Combinations:,6480,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Best Simulations (when averaged over 4 runs):,,,,,,,,,,,,,,,,,,,,,
Rank (Sim #), Avg Convergence Epoch, Particles, Inertia, Cognition, Social, Maximum Velocity,,,,,,,,,,,,,,,
1,15,20,0.1,0.5,1,10,,,,,,,,,,,,,,,
2,15,50,0.1,0.5,1,10,,,,,,,,,,,,,,,
3,15,50,0.1,1,1,10,,,,,,,,,,,,,,,
4,16,10,0.1,0.5,1,10,,,,,,,,,,,,,,,
5,16,20,0.1,0.5,1.75,10,,,,,,,,,,,,,,,
6,16,20,0.1,1.75,1,10,,,,,,,,,,,,,,,
7,16,30,0.1,1,1,7,,,,,,,,,,,,,,,
8,16,30,0.1,1.75,1,7,,,,,,,,,,,,,,,
9,16,40,0.1,0.5,1,7,,,,,,,,,,,,,,,
10,16,40,0.1,1.75,1,7,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Sim Number, X/Y Error, Epoch:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,
1, x,,25.412089,11.79947,6.041603,2.528531,0.531682,0.352323,0.103061,0.040225,0.013685,0.006147,0.003324,0.001176,0.00052, ,,,,,
, y,,20.24976,10.80465,5.799782,2.789135,0.672561,0.350542,0.106865,0.038819,0.014868,0.006617,0.004515,0.001439,0.000618, ,,,,,
2, x,,27.134227,11.865405,5.902347,2.633292,1.167872,0.415495,0.197055,0.065906,0.029225,0.014495,0.005183,0.00285,0.000878,0.000497,0.000355, ,,,
, y,,19.599554,10.524666,6.143858,3.205796,2.059578,1.229496,0.943018,0.668785,0.184294,0.04811,0.018394,0.003361,0.00243,0.001411,0.000311, ,,,
3, x,,26.830285,14.253376,6.589645,3.351342,1.920242,0.933263,0.378495,0.253005,0.169279,0.082214,0.031297,0.017649,0.007047,0.002872,0.001136,0.000694, ,,
, y,,23.911298,14.912189,7.093028,2.625944,1.509805,0.812213,0.319848,0.200284,0.069091,0.034943,0.021708,0.011801,0.002131,0.001445,0.000794,0.000442, ,,
4, x,,18.619133,11.599818,6.584941,3.485611,1.832238,2.375966,1.795978,0.95916,0.296366,0.279512,0.190471,0.068914,0.049144,0.034619,0.012791,0.006883,0.002495,0.000973, 
, y,,21.447091,13.605704,7.967009,4.473723,2.51848,2.929384,1.804948,1.071988,0.350632,0.236985,0.123943,0.05595,0.039879,0.026189,0.00596,0.004504,0.00211,0.000858, 
5, x,,27.070487,15.125177,9.649088,5.232131,2.917347,0.742928,0.504665,0.302377,0.105918,0.069228,0.07811,0.011894,0.007413,0.002965,0.001756,0.001654,0.001262,0.000638, 
, y,,24.363705,10.392659,7.404188,4.149365,2.79796,0.586048,0.35687,0.160161,0.09612,0.050513,0.038676,0.006095,0.003554,0.001247,0.001135,0.000954,0.000705,0.000363, 
6, x,,24.515979,15.740926,5.558227,4.080206,2.486005,1.990612,1.099863,0.883819,0.345912,0.024353,0.032537,0.04385,0.004389,0.004867,0.001176,0.000587, ,,
, y,,19.163682,10.588409,3.573972,1.483761,0.838565,0.38344,0.18724,0.10479,0.039178,0.020824,0.007286,0.006093,0.003703,0.004097,0.001234,0.000296, ,,
7, x,,22.599257,14.91736,8.386672,3.846917,1.46492,0.493383,0.269445,0.105192,0.058977,0.03552,0.014548,0.005352,0.002453,0.001387,0.000725, ,,,
, y,,18.772012,13.815833,6.233726,3.073687,1.004532,0.342279,0.165462,0.083023,0.049364,0.032329,0.013821,0.003311,0.003161,0.001519,0.000699, ,,,
8, x,,25.435671,15.816593,11.470784,7.934833,2.866008,1.512541,1.333213,0.704655,0.097152,0.074963,0.057378,0.038411,0.018906,0.004413,0.002246,0.00124,0.000177, ,
, y,,17.488979,11.145381,6.516972,3.419061,1.146864,0.508504,0.335472,0.134514,0.075136,0.032836,0.024776,0.017149,0.009623,0.003453,0.001418,0.000547,0.000099, ,
9, x,,23.738104,13.152611,7.810028,3.280706,2.140166,1.654694,0.683204,0.55547,0.165942,0.079049,0.018195,0.006063,0.001891,0.001261,0.000874, ,,,
, y,,19.202209,12.393789,7.565247,4.667487,2.344552,1.006467,0.324644,0.132909,0.075382,0.057188,0.010525,0.003987,0.001641,0.001286,0.000662, ,,,
10, x,,26.693672,18.710594,11.054497,7.08884,5.955389,4.826991,1.283078,0.650613,0.175814,0.0591,0.049529,0.039971,0.016476,0.004115,0.002103,0.000945, ,,
, y,,24.452053,15.633142,8.884553,5.847463,4.537066,3.799201,0.868079,0.402354,0.109687,0.054845,0.028852,0.019825,0.013306,0.002715,0.001505,0.000834, ,,
