Problem:, 2
Experiment:, Vary_Cognition

SIMULATION INFORMATION
Seed: 407132602
Convergence Epoch:, 18
Particles:, 100
Inertia:, 0.100000
Cognition:, 0.500000
Social:, 1.750000
Maximum Velocity:, 7.000000

Particle Positions upon Convergence
Particle Number:, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 
X Coordinate:, -20.000004, -19.999964, -19.999998, -20.000039, -20.000003, -19.997533, -19.999999, -20.000002, -20.000055, -20.000028, -19.999957, -19.999997, -19.999899, -20.000002, -19.999983, -20.000002, -19.999999, -20.000001, -19.999998, -19.999999, -20.000005, -19.999981, -20.000003, -19.998087, -19.999989, -20.000168, -20.000029, -19.999748, -19.999999, -19.999994, -19.999869, -19.999991, -20.000021, -19.999917, -20.000001, -19.999844, -19.999999, -20.000000, -19.999999, -19.999999, -19.999490, -19.999978, -19.999986, -19.999998, -20.000000, -20.000000, -20.000022, -19.999987, -20.000082, -19.999982, -19.999602, -19.999990, -20.000008, -20.000013, -19.997441, -20.000017, -20.000090, -20.000003, -20.000015, -19.998146, -19.999996, -20.000017, -20.000000, -19.999680, -20.000001, -20.000431, -20.000001, -19.999998, -19.999924, -20.000005, -20.000001, -20.000001, -20.000674, -20.000081, -20.000579, -19.999938, -20.000003, -20.000064, -20.000125, -20.000001, -19.999993, -20.000057, -20.000001, -20.000000, -19.999980, -20.000003, -20.001123, -20.000040, -20.000001, -20.000110, -20.000018, -19.999956, -20.000002, -20.000000, -20.000000, -20.000002, -20.000040, -20.000171, -19.999793, -20.000000, 
Y Coordinate:, -6.999994, -6.999998, -7.000001, -6.999922, -7.000003, -6.998264, -7.000000, -6.999995, -6.999902, -6.999994, -6.999984, -6.999993, -7.000004, -7.000001, -6.999998, -6.999997, -7.000006, -6.999999, -6.999996, -7.000000, -7.000000, -7.000006, -7.000033, -7.001152, -7.000018, -6.999993, -7.000004, -7.000184, -7.000000, -6.999994, -6.999682, -6.999962, -7.000005, -6.999965, -6.999999, -7.000180, -6.999999, -6.999999, -6.999997, -7.000008, -7.000376, -6.999997, -6.999957, -6.999998, -6.999999, -6.999999, -6.999993, -7.000005, -6.999894, -6.999988, -7.001098, -6.999992, -6.999996, -6.999881, -6.999384, -7.000024, -6.999934, -7.000001, -6.999998, -6.998712, -6.999990, -7.000057, -7.000001, -6.999872, -7.000004, -6.999818, -7.000001, -6.999999, -6.999856, -7.000012, -6.999998, -7.000000, -7.000078, -7.000135, -6.999671, -7.000037, -7.000000, -6.999911, -7.000185, -6.999999, -6.999999, -7.000114, -6.999998, -6.999999, -7.000103, -6.999990, -7.000548, -7.000004, -6.999999, -7.000119, -7.000049, -6.999966, -7.000000, -6.999999, -7.000000, -6.999988, -7.000039, -7.000223, -6.999800, -7.000001, 

Epoch:, X Error, Y Error, Avg Fitness, Avg Distance from Max, Fraction of Close Particles
0, 25.036642, 21.308095, 32.357345, 39.582058, 0
1, 18.961539, 13.864670, 49.964745, 37.880777, 0
2, 15.146762, 10.929174, 57.079864, 38.065621, 0
3, 10.638068, 7.046856, 64.362164, 38.902732, 0
4, 8.364305, 5.297592, 67.908838, 40.247065, 0
5, 6.043721, 3.734437, 70.425730, 41.222260, 0
6, 4.086799, 2.333345, 72.148148, 41.515871, 0
7, 2.701099, 1.519353, 72.992124, 41.778149, 0
8, 1.288423, 0.854078, 73.530277, 42.109731, 0
9, 0.944808, 0.652044, 73.729623, 42.218717, 0
10, 0.779476, 0.536317, 73.804468, 42.310097, 0
11, 0.641723, 0.449880, 73.879285, 42.280679, 0
12, 0.347746, 0.244169, 73.942591, 42.317587, 0
13, 0.124769, 0.087470, 73.981510, 42.358356, 0
14, 0.011401, 0.006203, 74.001785, 42.377706, 0
15, 0.009499, 0.006431, 74.003506, 42.380320, 0
16, 0.003515, 0.002102, 74.005351, 42.378832, 0
17, 0.000976, 0.000511, 74.006242, 42.379157, 0


SIMULATION INFORMATION
Seed: 3165912861
Convergence Epoch:, 19
Particles:, 100
Inertia:, 0.100000
Cognition:, 1.000000
Social:, 1.750000
Maximum Velocity:, 7.000000

Particle Positions upon Convergence
Particle Number:, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 
X Coordinate:, -20.000002, -20.000002, -19.999986, -20.000007, -19.999770, -19.999996, -19.999998, -19.999976, -20.000006, -20.000004, -20.000007, -19.999946, -19.999994, -20.000003, -19.999991, -19.999985, -20.000004, -20.000005, -19.999907, -20.000012, -19.999945, -19.999998, -19.999787, -20.000005, -20.001102, -19.999976, -19.999999, -19.999985, -19.999952, -19.999988, -20.000083, -20.000002, -20.000002, -19.999999, -20.000001, -20.000000, -19.999994, -20.000036, -19.999992, -19.999962, -20.000000, -19.999996, -19.999989, -19.999999, -19.999950, -19.999999, -20.000553, -20.000000, -20.000003, -20.000480, -19.999998, -20.000002, -19.999635, -19.999974, -19.999989, -19.999988, -20.000003, -19.998614, -20.000016, -19.999996, -20.000029, -19.999961, -20.000062, -19.999956, -20.000373, -20.000017, -20.000201, -20.000002, -20.000238, -20.000003, -20.000170, -20.000023, -20.000003, -19.999999, -20.000001, -19.999999, -19.998999, -19.999992, -19.998727, -20.000027, -19.999947, -19.999863, -19.999977, -19.999950, -19.999971, -19.999981, -20.000000, -19.999396, -20.000014, -19.999955, -19.999997, -19.999987, -20.000004, -20.000002, -19.999986, -19.999998, -20.000003, -20.000000, -20.000004, -20.000001, 
