Problem:, 2
Experiment:, Vary_Inertia

SIMULATION INFORMATION
Seed: 441662704
Convergence Epoch:, 24
Particles:, 100
Inertia:, 0.100000
Cognition:, 0.500000
Social:, 1.750000
Maximum Velocity:, 7.000000

Particle Positions upon Convergence
Particle Number:, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 
X Coordinate:, 19.955508, 19.955506, 19.955500, 19.955505, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955514, 19.955506, 19.955507, 19.955506, 19.955506, 19.955505, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955504, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.956078, 19.955506, 19.955501, 19.955506, 19.955506, 19.955507, 19.955521, 19.955506, 19.955510, 19.955511, 19.955506, 19.955505, 19.955505, 19.955506, 19.955506, 19.955506, 19.956311, 19.955509, 19.955506, 19.955506, 19.955506, 19.955503, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955505, 19.955506, 19.955506, 19.955506, 19.955505, 19.955505, 19.955509, 19.955507, 19.955507, 19.955506, 19.955617, 19.955506, 19.955506, 19.955506, 19.955506, 19.955507, 19.955506, 19.955506, 19.955503, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955505, 19.955426, 19.955506, 19.955506, 
Y Coordinate:, 6.984426, 6.984427, 6.984422, 6.984436, 6.984427, 6.984428, 6.984428, 6.984427, 6.984427, 6.984427, 6.984431, 6.984427, 6.984430, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984426, 6.984427, 6.984427, 6.984427, 6.984427, 6.984424, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984428, 6.984427, 6.984427, 6.984427, 6.984545, 6.984427, 6.984421, 6.984427, 6.984427, 6.984427, 6.984441, 6.984427, 6.984441, 6.984426, 6.984427, 6.984425, 6.984428, 6.984427, 6.984427, 6.984427, 6.984392, 6.984430, 6.984427, 6.984427, 6.984427, 6.984428, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984426, 6.984426, 6.984427, 6.984427, 6.984427, 6.984427, 6.984397, 6.984427, 6.984427, 6.984428, 6.984427, 6.984428, 6.984428, 6.984427, 6.984424, 6.984428, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984428, 6.984427, 6.984424, 6.984248, 6.984427, 6.984427, 

Epoch:, X Error, Y Error, Avg Fitness, Avg Distance from Max, Fraction of Close Particles
0, 26.457359, 20.888573, 32.696613, 43.236335, 0
1, 21.201154, 15.130007, 44.685081, 29.071947, 0
2, 14.061150, 10.708019, 53.270186, 17.038556, 0
3, 9.819615, 6.912737, 64.514078, 10.427137, 0
4, 6.962337, 4.377702, 88.925212, 5.722049, 0
5, 4.604631, 3.124774, 95.705543, 3.666213, 0
6, 2.557699, 1.607139, 105.029517, 2.113150, 0
7, 2.348244, 1.262813, 112.048163, 1.602343, 0
8, 1.173670, 0.368088, 119.184393, 0.693315, 0
9, 2.034524, 1.037352, 122.818723, 0.889178, 0
10, 2.711970, 1.541607, 123.851528, 1.007150, 0
11, 1.880658, 0.691888, 124.558179, 0.635363, 0
12, 1.829384, 0.421315, 125.365168, 0.471257, 0
13, 0.467575, 0.082405, 126.021490, 0.162950, 0
14, 1.405603, 0.201181, 125.791556, 0.365863, 0
15, 1.333520, 0.217101, 126.432528, 0.326163, 0
16, 0.434101, 0.088186, 126.987387, 0.120846, 0
17, 0.310874, 0.063266, 127.153802, 0.098299, 0
18, 0.423419, 0.086436, 127.150142, 0.115034, 0
19, 0.088628, 0.018252, 127.919283, 0.060427, 0
20, 0.025190, 0.005000, 128.054809, 0.051668, 0
21, 0.003889, 0.000618, 128.066408, 0.047107, 0
22, 0.002192, 0.000243, 128.066604, 0.047233, 0
23, 0.000988, 0.000096, 128.066675, 0.047199, 0


SIMULATION INFORMATION
Seed: 155358449
Convergence Epoch:, 24
Particles:, 100
Inertia:, 0.200000
Cognition:, 0.500000
Social:, 1.750000
Maximum Velocity:, 7.000000

Particle Positions upon Convergence
Particle Number:, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 
