Problem:, 2
Experiment:, Vary_MaxVelocity

SIMULATION INFORMATION
Seed: 1604842565
Convergence Epoch:, Simulation did not converge before 1000 epochs
Particles:, 100
Inertia:, 0.100000
Cognition:, 0.500000
Social:, 1.750000
Maximum Velocity:, 1.000000

Particle Positions at epoch 1000
Particle Number:, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 
X Coordinate:, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 14.535621, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 14.549373, 9.237638, 19.955506, 19.955506, 19.955506, 19.955506, 12.709864, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 10.731728, 11.103923, 14.365134, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 12.522308, 15.187438, 19.955506, 19.955506, 19.955506, 11.151802, 19.955506, 12.466543, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 10.857702, 13.455938, 19.955506, 19.955506, 19.955506, 19.955506, 12.397091, 19.955506, 19.955506, 19.955506, 19.955506, 14.867207, 9.630632, 19.955506, 11.899043, 19.955506, 19.955506, 9.993928, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 10.038999, 11.649376, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 11.288009, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 
Y Coordinate:, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 3.033985, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 1.581327, 3.621448, 6.984427, 6.984427, 6.984427, 6.984427, 6.012719, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 4.099883, 1.278414, 4.144806, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 2.970414, 6.751162, 6.984427, 6.984427, 6.984427, 1.654640, 6.984427, 2.750908, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 4.786800, 2.442082, 6.984427, 6.984427, 6.984427, 6.984427, 3.304729, 6.984427, 6.984427, 6.984427, 6.984427, 1.685376, 3.026245, 6.984427, 6.853284, 6.984427, 6.984427, 0.434236, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 3.040185, 1.434315, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 2.687580, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 

SIMULATION INFORMATION
Seed: 3178653414
Convergence Epoch:, 51
Particles:, 100
Inertia:, 0.100000
Cognition:, 0.500000
Social:, 1.750000
Maximum Velocity:, 2.000000

Particle Positions upon Convergence
Particle Number:, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 
X Coordinate:, -20.000005, -20.000000, -20.000000, -20.000000, -19.999998, -20.000000, -20.000000, -20.000000, -20.000000, -20.000000, -20.000000, -19.999369, -20.000004, -20.000000, -20.000000, -20.000000, -20.000000, -20.000000, -20.000000, -20.000000, -20.000000, -19.999999, -20.000000, -20.000000, -20.000000, -20.000000, -20.000000, -20.000000, -20.000000, -20.000000, -20.000000, -20.000000, -20.000000, -20.000000, -20.000000, -20.000000, -20.000000, -20.000000, -20.000000, -20.000000, -20.000000, -20.001515, -20.000000, -20.000000, -20.000000, -20.000000, -20.000000, -20.000000, -19.992926, -19.999988, -20.000000, -20.000000, -20.000000, -20.000000, -20.000000, -20.000000, -20.000000, -19.999997, -20.000000, -20.000000, -20.000000, -20.000000, -20.000000, -20.000000, -20.000000, -20.000000, -20.000000, -19.999992, -20.000000, -20.000000, -20.000000, -20.000000, -20.000000, -20.000000, -20.000000, -20.000000, -20.000000, -20.000000, -20.000000, -20.000000, -20.000000, -20.000000, -20.000000, -20.000000, -20.000001, -20.000000, -20.000000, -20.000000, -20.000000, -20.000000, -20.000000, -20.000000, -20.000000, -20.000000, -20.000000, -20.000000, -20.000000, -20.000000, -20.000000, -20.000000, 
Y Coordinate:, -7.000000, -7.000000, -7.000000, -7.000000, -7.000000, -7.000000, -7.000000, -7.000000, -7.000001, -7.000000, -7.000000, -6.999642, -6.999999, -7.000000, -7.000000, -7.000000, -7.000000, -7.000000, -7.000000, -7.000000, -7.000000, -6.999999, -7.000000, -7.000000, -7.000000, -7.000000, -7.000000, -7.000000, -7.000000, -7.000000, -7.000000, -7.000000, -7.000000, -7.000000, -7.000000, -7.000000, -7.000000, -7.000000, -7.000000, -7.000000, -7.000000, -7.001223, -7.000000, -7.000000, -7.000000, -7.000000, -7.000000, -7.000000, -6.995071, -6.999991, -7.000000, -7.000000, -7.000000, -7.000000, -7.000000, -7.000000, -7.000000, -6.999997, -7.000000, -7.000000, -7.000000, -7.000000, -7.000000, -7.000000, -7.000000, -7.000000, -7.000000, -6.999993, -7.000000, -7.000000, -7.000000, -7.000000, -7.000000, -7.000000, -7.000000, -7.000000, -7.000000, -7.000000, -7.000000, -7.000000, -7.000000, -7.000000, -7.000000, -7.000000, -7.000001, -7.000000, -7.000000, -7.000000, -7.000000, -7.000000, -7.000000, -7.000001, -7.000000, -7.000000, -7.000000, -7.000000, -7.000000, -7.000000, -7.000000, -7.000000, 

Epoch:, X Error, Y Error, Avg Fitness, Avg Distance from Max, Fraction of Close Particles
0, 27.228625, 21.122036, 29.215914, 39.446494, 0
1, 26.250482, 20.235318, 31.327815, 38.413851, 0
2, 25.285008, 19.404986, 33.383674, 37.470349, 0
3, 24.051147, 18.566101, 35.469364, 36.578450, 0
4, 22.907842, 17.735022, 37.516743, 35.740479, 0
5, 21.741497, 17.362651, 39.566569, 34.939858, 0
6, 20.581425, 16.915832, 41.635682, 34.246915, 0
7, 19.993745, 16.373238, 43.616633, 33.700920, 0
8, 19.248480, 15.515540, 45.547120, 33.215365, 0
9, 18.516187, 14.538112, 47.517375, 32.890533, 0
10, 17.616355, 13.801897, 49.314224, 32.597609, 0
11, 16.793121, 13.149338, 51.095248, 32.435087, 0
12, 16.011039, 12.366206, 52.900133, 32.415885, 0
13, 15.162121, 11.640896, 54.486328, 32.504659, 0
14, 14.309545, 10.902659, 56.103189, 32.689042, 0
15, 13.510774, 10.175157, 57.605132, 32.933481, 0
16, 12.724373, 9.507248, 58.955274, 33.211359, 0
17, 11.931068, 8.832123, 60.275005, 33.551080, 0
18, 11.182438, 8.164952, 61.534088, 33.954158, 0
19, 10.455897, 7.533097, 62.694633, 34.308742, 0
20, 9.727268, 6.925586, 63.846302, 34.784890, 0
21, 9.034540, 6.377547, 64.901828, 35.312360, 0
22, 8.339811, 5.811739, 65.915783, 35.848497, 0
23, 7.672960, 5.310981, 66.812419, 36.340652, 0
24, 6.993181, 4.796892, 67.710454, 36.920782, 0
25, 6.324467, 4.292746, 68.587826, 37.498802, 0
26, 5.688424, 3.832802, 69.402227, 38.150740, 0
27, 5.085927, 3.422234, 70.149806, 38.739607, 0
28, 4.510996, 3.055674, 70.769586, 39.271660, 0
29, 3.933638, 2.663505, 71.396125, 39.851553, 0
30, 3.419586, 2.347280, 71.962556, 40.363752, 0
31, 2.979704, 2.055694, 72.339366, 40.759199, 0
32, 2.609270, 1.815528, 72.644870, 41.050837, 0
33, 2.222238, 1.569154, 72.934763, 41.318416, 0
34, 1.871977, 1.348048, 73.162775, 41.546032, 0
35, 1.527288, 1.106333, 73.420617, 41.753540, 0
36, 1.284284, 0.918486, 73.541740, 41.902988, 0
37, 1.020679, 0.717751, 73.671501, 42.021548, 0
38, 0.785476, 0.551179, 73.764983, 42.112111, 0
39, 0.505970, 0.333502, 73.858861, 42.230648, 0
40, 0.297998, 0.188487, 73.936793, 42.303225, 0
41, 0.203113, 0.136316, 73.959337, 42.331052, 0
42, 0.167083, 0.111830, 73.965082, 42.363803, 0
43, 0.099263, 0.058604, 73.983711, 42.371866, 0
44, 0.045407, 0.031505, 73.995751, 42.385901, 0
45, 0.035244, 0.023888, 73.998690, 42.375785, 0
46, 0.003832, 0.002367, 74.005636, 42.379148, 0
47, 0.006081, 0.003835, 74.004982, 42.379325, 0
48, 0.002727, 0.001943, 74.006047, 42.379017, 0
49, 0.001487, 0.001044, 74.006227, 42.379417, 0
50, 0.000406, 0.000286, 74.006570, 42.379192, 0


SIMULATION INFORMATION
Seed: 568712364
Convergence Epoch:, 36
Particles:, 100
Inertia:, 0.100000
Cognition:, 0.500000
Social:, 1.750000
Maximum Velocity:, 5.000000

Particle Positions upon Convergence
Particle Number:, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 
X Coordinate:, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955206, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.948485, 19.955508, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955630, 19.955506, 19.955506, 19.955506, 19.955506, 19.955792, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 
Y Coordinate:, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984483, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.982702, 6.984429, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984516, 6.984427, 6.984427, 6.984427, 6.984427, 6.984691, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 

Epoch:, X Error, Y Error, Avg Fitness, Avg Distance from Max, Fraction of Close Particles
0, 25.511795, 21.500480, 29.922804, 43.679521, 0
1, 24.079499, 17.566731, 37.058126, 38.601517, 0
2, 20.430073, 14.347051, 45.400482, 30.629283, 0
3, 16.979162, 11.342406, 55.515913, 22.981526, 0
4, 13.919233, 9.185828, 62.425426, 17.334803, 0
5, 11.217759, 7.155672, 74.694119, 12.529518, 0
