Problem:, 2
Experiment:, Vary_Particle_Count

SIMULATION INFORMATION
Seed: 567199033
Convergence Epoch:, 19
Particles:, 10
Inertia:, 0.100000
Cognition:, 0.500000
Social:, 1.750000
Maximum Velocity:, 7.000000

Particle Positions upon Convergence
Particle Number:, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 
X Coordinate:, -19.999597, -20.000884, -19.998823, -19.999713, -19.999826, -19.999461, -20.000027, -19.999516, -19.999622, -19.999455, 
Y Coordinate:, -7.000497, -6.998609, -6.999792, -7.000563, -7.000532, -7.000525, -7.000736, -7.000516, -7.000979, -7.000504, 

Epoch:, X Error, Y Error, Avg Fitness, Avg Distance from Max, Fraction of Close Particles
0, 19.685789, 21.907155, 29.974356, 36.842034, 0
1, 13.550695, 15.131750, 43.905301, 31.118122, 0
2, 9.084758, 8.742975, 58.209356, 38.788983, 0
3, 5.157067, 5.810263, 64.459726, 37.152742, 0
4, 2.692599, 3.476958, 68.336390, 39.422322, 0
5, 0.950073, 1.440137, 71.467672, 40.683908, 0
6, 0.616264, 0.689454, 72.902905, 41.778715, 0
7, 0.338564, 0.256104, 73.391363, 41.879125, 0
8, 0.303936, 0.211514, 73.487899, 42.137933, 0
9, 0.161489, 0.114424, 73.788992, 42.231363, 0
10, 0.118510, 0.070370, 73.868624, 42.380325, 0
11, 0.046296, 0.034123, 73.942884, 42.385034, 0
12, 0.019273, 0.032006, 73.969948, 42.378521, 0
13, 0.007364, 0.010773, 73.992330, 42.374089, 0
14, 0.005293, 0.006329, 73.997699, 42.375563, 0
15, 0.002569, 0.003654, 74.000912, 42.378141, 0
16, 0.001071, 0.003042, 74.002026, 42.380690, 0
17, 0.000882, 0.001242, 74.004680, 42.380364, 0
18, 0.000712, 0.000907, 74.005323, 42.379539, 0


SIMULATION INFORMATION
Seed: 1115651380
Convergence Epoch:, 18
Particles:, 25
Inertia:, 0.100000
Cognition:, 0.500000
Social:, 1.750000
Maximum Velocity:, 7.000000

Particle Positions upon Convergence
Particle Number:, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 
X Coordinate:, -19.999985, -20.000002, -19.999977, -19.999910, -19.999975, -19.999997, -19.999984, -20.000132, -20.000000, -20.000012, -20.000308, -19.999978, -20.000004, -19.999968, -20.000004, -19.999967, -20.000026, -19.997374, -20.000005, -19.999997, -20.000172, -20.000005, -20.000001, -19.999968, -19.999998, 
Y Coordinate:, -6.999970, -6.999996, -7.000007, -6.999828, -6.999987, -6.999997, -6.999992, -6.999998, -6.999999, -7.000006, -6.999898, -7.000029, -7.000000, -6.999980, -7.000009, -7.000051, -6.999974, -6.998142, -6.999991, -7.000000, -7.000455, -6.999996, -6.999991, -6.999994, -7.000002, 

Epoch:, X Error, Y Error, Avg Fitness, Avg Distance from Max, Fraction of Close Particles
0, 29.885126, 19.277000, 31.177568, 42.662604, 0
1, 18.744149, 13.199737, 47.169275, 38.548937, 0
2, 13.755534, 9.316228, 58.868261, 36.924493, 0
3, 8.045283, 6.618589, 66.567220, 41.548789, 0
4, 6.470325, 5.428897, 69.070028, 42.127465, 0
5, 4.127263, 2.949219, 71.950529, 41.207261, 0
6, 0.582354, 0.441816, 73.424925, 42.347585, 0
7, 0.533432, 0.395822, 73.603712, 42.507953, 0
8, 0.294280, 0.244549, 73.795337, 42.469464, 0
9, 0.286872, 0.210858, 73.884708, 42.287787, 0
10, 0.036206, 0.026349, 73.982255, 42.366964, 0
11, 0.027928, 0.020614, 73.987547, 42.388326, 0
12, 0.043442, 0.031012, 73.989516, 42.364016, 0
13, 0.014476, 0.010240, 74.000348, 42.373725, 0
14, 0.011134, 0.007813, 74.001077, 42.383221, 0
15, 0.004955, 0.003521, 74.004696, 42.377685, 0
16, 0.001224, 0.000850, 74.005953, 42.379591, 0
17, 0.000514, 0.000372, 74.006325, 42.379428, 0


SIMULATION INFORMATION
Seed: 3620463745
Convergence Epoch:, 41
Particles:, 50
Inertia:, 0.100000
Cognition:, 0.500000
Social:, 1.750000
Maximum Velocity:, 7.000000

Particle Positions upon Convergence
Particle Number:, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 
X Coordinate:, 19.955506, 19.955507, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.958819, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 19.955506, 
Y Coordinate:, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.986316, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 6.984427, 

Epoch:, X Error, Y Error, Avg Fitness, Avg Distance from Max, Fraction of Close Particles
0, 20.835216, 20.080208, 34.473512, 43.555968, 0
1, 23.388420, 15.374014, 48.320635, 34.464806, 0
2, 16.161300, 10.295899, 52.163156, 20.471181, 0
3, 12.180085, 6.701688, 62.902523, 12.994467, 0
4, 9.676151, 5.498824, 68.675360, 9.946290, 0
5, 7.079883, 3.724356, 85.518289, 6.348091, 0
6, 4.812633, 2.145515, 92.734569, 4.377617, 0
7, 4.622271, 2.216489, 100.180509, 3.733423, 0
8, 3.766913, 1.672441, 107.924730, 2.719765, 0
9, 2.168007, 1.370200, 113.163226, 1.438482, 0
10, 3.218429, 1.575136, 113.439397, 2.117424, 0
11, 2.665557, 1.177463, 114.075109, 1.528687, 0
12, 2.809291, 1.228481, 115.780675, 1.591593, 0
13, 2.927611, 1.206061, 117.475341, 1.456241, 0
14, 2.670766, 1.191376, 117.641636, 1.469625, 0
15, 3.417059, 1.256124, 118.470365, 1.620086, 0
16, 1.924057, 0.759799, 119.395371, 0.915214, 0
17, 1.659109, 0.471577, 118.961205, 0.755832, 0
18, 1.812895, 0.931892, 119.432310, 0.829613, 0
19, 1.361125, 0.619462, 121.766802, 0.598287, 0
20, 1.137639, 0.654588, 122.901194, 0.499226, 0
21, 1.539151, 0.612556, 123.039621, 0.617064, 0
22, 1.126374, 0.555703, 123.014936, 0.483977, 0
23, 1.492167, 0.693125, 123.247613, 0.555921, 0
24, 1.287224, 0.721076, 125.460558, 0.386021, 0
25, 0.783740, 0.447037, 126.399462, 0.231928, 0
26, 0.779351, 0.444215, 126.400896, 0.232208, 0
27, 1.011137, 0.576536, 126.452945, 0.283134, 0
28, 0.998405, 0.569321, 126.455463, 0.278627, 0
29, 0.876646, 0.499883, 126.433750, 0.249448, 0
30, 0.715579, 0.408038, 126.403549, 0.211590, 0
31, 1.417965, 0.808552, 126.535528, 0.373563, 0
32, 0.807695, 0.460564, 126.421017, 0.233141, 0
33, 0.621352, 0.354308, 126.385685, 0.190199, 0
34, 0.004618, 0.002633, 128.066183, 0.048195, 0
35, 0.063222, 0.036050, 127.967531, 0.059826, 0
36, 0.007104, 0.004051, 128.065291, 0.046925, 0
37, 0.006626, 0.003778, 128.065643, 0.048656, 0
38, 0.006999, 0.003991, 128.065522, 0.048742, 0
39, 0.003638, 0.002074, 128.066376, 0.047971, 0
40, 0.000379, 0.000216, 128.066689, 0.047226, 0


SIMULATION INFORMATION
Seed: 3288758575
Convergence Epoch:, 21
Particles:, 75
Inertia:, 0.100000
Cognition:, 0.500000
Social:, 1.750000
Maximum Velocity:, 7.000000

Particle Positions upon Convergence
Particle Number:, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 
X Coordinate:, -20.000000, -20.000001, -20.000000, -20.000000, -20.000138, -20.000001, -20.000000, -19.999999, -19.999947, -20.000000, -19.999995, -19.999998, -20.000000, -19.999965, -19.999993, -20.000000, -20.000000, -19.999999, -19.999999, -20.000000, -20.000002, -20.000002, -20.000000, -20.000000, -19.999999, -20.000000, -20.000000, -19.999995, -19.999991, -20.000003, -20.000000, -20.000001, -20.000000, -19.999999, -20.000002, -19.999998, -19.999989, -20.000001, -20.001711, -20.000002, -20.000002, -20.000011, -20.000000, -20.000001, -19.999908, -20.000000, -20.000000, -20.000002, -20.000000, -20.000002, -19.999999, -20.000000, -20.000000, -20.000000, -20.000000, -20.000002, -20.000007, -20.000000, -20.000000, -19.999867, -19.999998, -20.000002, -20.000000, -20.000000, -20.000050, -20.000000, -20.000000, -20.000000, -19.999999, -20.000015, -20.000000, -20.000002, -20.000000, -20.000010, -20.000000, 
