Problem:, 2
Experiment:, Vary_Social

SIMULATION INFORMATION
Seed: 2144813072
Convergence Epoch:, Simulation did not converge before 1000 epochs
Particles:, 100
Inertia:, 0.100000
Cognition:, 0.500000
Social:, 0.500000
Maximum Velocity:, 7.000000

Particle Positions at epoch 1000
Particle Number:, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 
X Coordinate:, 19.955411, -8.710635, -0.321767, 19.955411, 19.955411, -9.016143, 19.955411, 19.955411, 19.955411, 19.955411, 19.955411, 19.955411, 19.955411, 19.955411, -4.500244, 14.807670, 19.955411, 12.385160, 19.955411, 19.955411, 19.955411, 19.955411, 19.955411, -3.884265, 19.955411, 19.955411, 14.719425, 7.961194, 19.955411, 3.038050, 1.706221, 19.955411, 19.955411, 19.955411, 13.356362, 7.008949, 19.955411, 19.955411, 19.955411, 19.955411, 9.951770, 6.784445, 19.955411, 19.955411, 7.246192, 10.704515, 4.045067, 19.955411, 19.955411, 19.955411, 19.955411, 8.886789, 19.955411, -1.743371, 2.545950, 19.955411, 11.942915, 19.955411, 19.955411, 2.861103, 19.955411, 19.955411, 2.881796, 6.706587, 19.955411, 19.955411, 19.955411, 19.955411, 19.955411, -2.442573, 8.931226, 19.955411, 19.955411, 19.955411, 0.462846, 7.905684, 10.209454, 19.955411, 19.955411, 19.955411, -1.502691, 19.955411, 10.969602, 19.955411, 5.295762, 4.088626, 9.627158, 19.955411, 19.955411, 6.072293, 2.826653, 19.955411, 19.955411, 13.890897, 12.037711, 19.955411, 10.737879, 12.888462, 19.955411, 19.955411, 
Y Coordinate:, 6.984408, -8.069469, 2.081799, 6.984408, 6.984408, -0.931807, 6.984408, 6.984408, 6.984408, 6.984408, 6.984408, 6.984408, 6.984408, 6.984408, 2.731879, -2.020682, 6.984408, -1.865638, 6.984408, 6.984408, 6.984408, 6.984408, 6.984408, 11.832143, 6.984408, 6.984408, -4.943302, 13.951038, 6.984408, -5.010773, 1.823610, 6.984408, 6.984408, 6.984408, 0.632255, -9.197533, 6.984408, 6.984408, 6.984408, 6.984408, -0.368230, -9.513481, 6.984408, 6.984408, 10.023984, -6.444961, -0.043617, 6.984408, 6.984408, 6.984408, 6.984408, -6.363498, 6.984408, 12.311120, -4.893047, 6.984408, -2.536574, 6.984408, 6.984408, 4.338395, 6.984408, 6.984408, -2.415819, 5.648396, 6.984408, 6.984408, 6.984408, 6.984408, 6.984408, 5.829580, 3.136899, 6.984408, 6.984408, 6.984408, 0.387974, 2.012472, 9.461894, 6.984408, 6.984408, 6.984408, 9.741845, 6.984408, 2.274395, 6.984408, 0.453916, -3.273342, -5.649276, 6.984408, 6.984408, -2.681888, 1.727660, 6.984408, 6.984408, -2.226588, 3.728967, 6.984408, 9.050967, 11.162466, 6.984408, 6.984408, 

SIMULATION INFORMATION
Seed: 2772366804
Convergence Epoch:, 17
Particles:, 100
Inertia:, 0.100000
Cognition:, 0.500000
Social:, 1.000000
Maximum Velocity:, 7.000000

Particle Positions upon Convergence
Particle Number:, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 
X Coordinate:, -19.999961, -20.000008, -19.999992, -20.000000, -20.000002, -19.999989, -20.000000, -19.999999, -20.000001, -20.000000, -19.999977, -19.999993, -20.000005, -20.000020, -19.999980, -20.000136, -19.999997, -19.999906, -19.999998, -19.999709, -20.000021, -20.000004, -19.999912, -20.000000, -20.000007, -20.000021, -19.999997, -20.000002, -20.000006, -20.000538, -20.000169, -20.000002, -19.999984, -20.000002, -20.000018, -19.999999, -20.000004, -19.999997, -19.999999, -19.999999, -20.000000, -19.999910, -20.000004, -20.000044, -19.999974, -20.000003, -20.000005, -20.000000, -19.999999, -20.000001, -20.000000, -19.999994, -19.999945, -20.000000, -19.999989, -19.999966, -19.999663, -19.999997, -19.999994, -19.999986, -20.000024, -20.000115, -20.000000, -20.000015, -19.999997, -19.999778, -19.999997, -20.000000, -19.999813, -20.000011, -20.000000, -19.999935, -20.000001, -20.000007, -19.999997, -20.000000, -20.000139, -19.999841, -19.999998, -20.000027, -19.999996, -19.999999, -19.999998, -19.999995, -19.999994, -20.000000, -19.999989, -19.999995, -19.999997, -20.000001, -20.000818, -20.000002, -19.999953, -19.999999, -20.000008, -20.000000, -19.999999, -20.000002, -19.999924, -20.000092, 
Y Coordinate:, -7.000023, -6.999989, -6.999937, -6.999998, -6.999996, -6.999986, -7.000000, -7.000001, -6.999997, -7.000000, -7.000010, -6.999995, -6.999995, -6.999994, -6.999988, -6.999292, -6.999994, -6.999988, -6.999997, -6.999623, -7.000010, -6.999999, -6.999985, -7.000001, -7.000010, -6.999969, -6.999999, -6.999993, -6.999990, -7.000230, -7.001619, -7.000000, -6.999977, -6.999998, -7.000001, -6.999997, -7.000000, -6.999999, -7.000001, -7.000000, -7.000000, -7.000038, -7.000006, -7.000044, -7.000006, -7.000002, -7.000005, -7.000001, -7.000003, -7.000000, -7.000000, -7.000004, -6.999993, -7.000003, -7.000034, -6.999973, -6.999698, -7.000004, -6.999976, -7.000033, -6.999973, -7.000085, -7.000002, -7.000001, -7.000000, -7.000053, -7.000004, -6.999998, -7.000014, -7.000032, -6.999998, -7.000007, -7.000001, -7.000003, -6.999998, -6.999997, -6.998106, -6.999874, -6.999999, -7.000007, -7.000003, -7.000001, -7.000001, -6.999993, -6.999998, -6.999999, -7.000003, -7.000012, -7.000061, -7.000000, -6.999403, -6.999999, -7.000059, -6.999999, -6.999998, -7.000000, -6.999999, -6.999998, -6.999993, -6.999941, 

Epoch:, X Error, Y Error, Avg Fitness, Avg Distance from Max, Fraction of Close Particles
0, 22.037053, 19.312380, 35.016952, 39.248645, 0
1, 16.011166, 12.093841, 52.868559, 34.409957, 0
2, 9.698673, 6.940470, 63.336942, 37.016269, 0
3, 5.629355, 3.648774, 69.059677, 39.738456, 0
4, 2.556782, 2.034797, 71.767783, 41.495703, 0
5, 0.876184, 0.788967, 72.990689, 42.200475, 0
6, 0.445116, 0.349343, 73.558737, 42.363782, 0
7, 0.225558, 0.184273, 73.791785, 42.370561, 0
8, 0.133081, 0.139197, 73.892221, 42.381076, 0
9, 0.078220, 0.090194, 73.946687, 42.382324, 0
10, 0.031804, 0.046015, 73.980748, 42.385822, 0
11, 0.009987, 0.028555, 73.994532, 42.380769, 0
12, 0.004881, 0.016833, 74.001088, 42.378715, 0
13, 0.003069, 0.002329, 74.004739, 42.379199, 0
14, 0.001040, 0.002111, 74.005640, 42.379296, 0
15, 0.000419, 0.001467, 74.006129, 42.379279, 0
16, 0.000214, 0.000319, 74.006506, 42.379229, 0


SIMULATION INFORMATION
Seed: 4236945145
Convergence Epoch:, 17
Particles:, 100
Inertia:, 0.100000
Cognition:, 0.500000
Social:, 1.500000
Maximum Velocity:, 7.000000

Particle Positions upon Convergence
Particle Number:, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 
X Coordinate:, -19.999934, -20.000001, -20.000084, -19.999848, -19.999997, -20.000002, -20.000002, -20.000071, -20.000010, -20.000033, -19.999998, -20.000721, -19.999928, -19.999994, -20.000005, -19.999979, -19.999995, -19.999960, -20.000000, -20.000026, -19.999989, -19.999988, -20.000000, -20.000082, -20.000913, -20.000000, -20.000039, -20.000209, -20.000025, -20.000011, -19.999990, -20.000002, -19.999719, -19.999994, -19.999993, -19.999991, -20.000000, -20.000001, -19.999996, -19.999996, -19.999998, -20.000095, -20.000023, -20.000000, -20.000007, -19.999996, -20.000078, -20.000043, -19.999999, -19.999990, -19.999267, -19.999997, -20.000000, -20.000031, -19.998543, -20.000012, -19.999991, -19.999999, -19.999966, -20.000001, -19.999778, -20.000047, -19.999980, -20.000002, -19.999930, -20.000035, -19.999999, -19.999934, -20.000000, -20.000009, -19.999985, -19.999997, -20.000000, -19.999996, -19.999994, -19.999999, -19.999999, -19.999999, -19.999987, -20.000027, -20.000020, -19.999991, -20.000000, -20.000017, -19.999992, -20.000000, -20.000003, -19.999950, -19.999990, -20.000001, -19.999995, -20.000003, -19.999998, -19.999955, -19.999812, -19.999998, -20.000458, -19.999998, -19.999998, -20.000011, 
Y Coordinate:, -6.999523, -6.999999, -7.000052, -6.999834, -6.999993, -7.000000, -6.999989, -7.000040, -6.999992, -7.000068, -6.999995, -7.000520, -7.000006, -6.999997, -7.000000, -6.999962, -7.000003, -7.000012, -7.000003, -6.999926, -7.000012, -7.000012, -7.000001, -7.000085, -7.000092, -7.000000, -7.000025, -6.999934, -7.000004, -7.000026, -6.999997, -7.000007, -6.999802, -7.000008, -6.999977, -7.000003, -6.999994, -6.999999, -6.999999, -6.999993, -7.000001, -7.000024, -6.999980, -7.000000, -7.000000, -7.000029, -6.999878, -7.000046, -6.999999, -6.999990, -6.999007, -7.000002, -6.999999, -7.000195, -7.000373, -6.999949, -7.000029, -7.000000, -6.999961, -6.999999, -7.000134, -7.000049, -6.999992, -6.999992, -7.000052, -7.000072, -7.000001, -6.999955, -7.000001, -6.999985, -6.999987, -6.999999, -7.000000, -6.999997, -7.000003, -6.999999, -7.000000, -6.999999, -7.000009, -7.000025, -7.000009, -7.000001, -6.999999, -6.999997, -6.999999, -6.999993, -7.000001, -6.999973, -7.000027, -6.999999, -6.999997, -7.000006, -7.000002, -7.000003, -6.999747, -6.999997, -6.999758, -7.000002, -7.000002, -7.000002, 

Epoch:, X Error, Y Error, Avg Fitness, Avg Distance from Max, Fraction of Close Particles
0, 23.897355, 21.923200, 31.975192, 42.824143, 0
1, 17.349640, 14.104621, 48.305834, 38.158711, 0
2, 11.369891, 8.501952, 60.819516, 38.995675, 0
3, 7.771992, 6.203488, 66.559315, 41.034644, 0
4, 4.892636, 3.923300, 70.170952, 41.821619, 0
5, 2.814402, 1.782570, 72.346050, 42.043352, 0
6, 0.776308, 0.756627, 73.294949, 42.498854, 0
7, 0.612328, 0.476087, 73.608657, 42.430403, 0
8, 0.360846, 0.256363, 73.808063, 42.391795, 0
9, 0.137137, 0.104400, 73.935596, 42.356201, 0
10, 0.053656, 0.030672, 73.977588, 42.378311, 0
11, 0.024485, 0.014945, 73.992407, 42.385194, 0
12, 0.005197, 0.006952, 74.001989, 42.380241, 0
13, 0.003275, 0.003192, 74.004438, 42.379064, 0
14, 0.001661, 0.001469, 74.005718, 42.379145, 0
15, 0.001046, 0.000758, 74.006096, 42.379173, 0
16, 0.000204, 0.000258, 74.006492, 42.379183, 0


SIMULATION INFORMATION
Seed: 4101317570
Convergence Epoch:, 18
Particles:, 100
Inertia:, 0.100000
Cognition:, 0.500000
Social:, 1.750000
Maximum Velocity:, 7.000000

Particle Positions upon Convergence
Particle Number:, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 
